time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-20 16:30:53.770,-0.2463,-80.434,10,4.7,mb,,94,1.95,1.22,us,us20005k7l,2016-04-20 23:56:23.891,"39km N of Bahia de Caraquez, Ecuador",earthquake,5.7,1.8,0.05,122,reviewed,us,us
2016-04-20 16:26:49.810,-0.095,-80.7546,10,4,mb,,230,2.255,1.34,us,us20005kcr,2016-04-21 02:27:08.335,"67km NW of Bahia de Caraquez, Ecuador",earthquake,5.5,2,0.259,4,reviewed,us,us
2016-04-20 16:20:36.780,0.6996,-80.2089,10,4.7,mb,,84,1.834,1.08,us,us20005k7i,2016-04-20 23:49:30.376,"22km WNW of Muisne, Ecuador",earthquake,6.7,1.9,0.043,162,reviewed,us,us
2016-04-20 16:03:28.990,5.6277,126.697,82.16,4.9,mb,,94,1.813,1.15,us,us20005k78,2016-04-20 16:23:22.168,"99km SE of Pondaguitan, Philippines",earthquake,8.7,7.1,0.059,89,reviewed,us,us
2016-04-20 14:55:43.000,61.727,-148.1938,2.5,3.5,ml,,,,0.88,ak,ak13487624,2016-04-20 19:27:12.040,"35km ESE of Sutton-Alpine, Alaska",earthquake,0.1,0.2,,,reviewed,ak,ak
2016-04-20 14:11:44.730,36.4648,-98.7466,5,2.9,mb_lg,,71,0.013,0.79,us,us20005k6h,2016-04-20 14:25:25.822,"32km NW of Fairview, Oklahoma",earthquake,1.5,1.8,0.066,60,reviewed,us,us
2016-04-20 13:35:16.000,63.028,-151.5679,1,3.3,ml,,,,0.79,ak,ak13487508,2016-04-20 19:34:02.776,"108km NW of  alkeetna, Alaska",earthquake,0.5,,,,reviewed,ak,ak
2016-04-20 12:30:58.000,63.157,-152.8529,5.1,2.7,ml,,,,0.9,ak,ak13487397,2016-04-20 13:16:24.995,"140km E of McGrath, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-04-20 12:19:44.830,37.8201,141.5712,38.8,5.8,mwb,,41,0.62,0.87,us,us20005k66,2016-04-20 17:56:33.000,"62km NE of Namie, Japan",earthquake,6,5.2,0.034,85,reviewed,us,us
2016-04-20 11:41:45.520,33.646,-116.7373333,13.59,2.91,ml,108,17,0.05675,0.18,ci,ci37551648,2016-04-20 13:41:07.441,"11km S of Idyllwild, CA",earthquake,0.11,0.19,0.147,195,reviewed,ci,ci
2016-04-20 11:35:33.000,19.0382,-64.3476,44,2.7,Md,4,334.8,0.89202708,0.07,pr,pr16111002,2016-04-20 15:34:38.665,"74km NNE of Road  own, British Virgin Islands",earthquake,2.8,5.8,0,3,reviewed,pr,pr
2016-04-20 11:33:30.060,-19.1282,-177.152,356.81,5.3,mb,,87,4.755,1.47,us,us20005k5s,2016-04-20 11:55:20.133,"233km NE of Ndoi Island, Fiji",earthquake,9.5,6.1,0.027,457,reviewed,us,us
2016-04-20 11:02:51.910,36.2086,71.171,99.58,4.5,mb,,87,1.032,0.78,us,us20005k5d,2016-04-20 11:41:26.014,"41km ENE of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,7.3,6.7,0.073,55,reviewed,us,us
2016-04-20 10:51:39.700,13.2039,-55.9267,10,5.8,mb,,32,3.538,0.69,us,us20005k4s,2016-04-20 17:56:32.000,"North Atlantic Ocean",earthquake,8.3,1.8,0.021,827,reviewed,us,us
2016-04-20 10:41:56.220,-5.2006,153.2756,48.43,5.1,mb,,51,1.494,0.97,us,us20005k3t,2016-04-20 11:00:44.656,"85km SSE of  aron, Papua New Guinea",earthquake,7.7,7,0.053,115,reviewed,us,us
2016-04-20 10:26:41.800,18.9451,-65.2498,14,2.5,Md,4,302.4,0.63421059,0.15,pr,pr16111001,2016-04-20 12:40:33.372,"71km N of Culebra, Puerto Rico",earthquake,5.3,10.5,0,4,reviewed,pr,pr
2016-04-20 10:17:09.600,37.5198333,-118.7855,6.98,2.91,md,39,110,0.07817,0.05,nc,nc72624910,2016-04-21 16:43:58.794,"22km SE of Mammoth Lakes, California",earthquake,0.23,0.83,0.163,62,reviewed,nc,nc
2016-04-20 08:35:10.720,0.7095,-80.0093,10,6,mwb,,78,1.654,1.5,us,us20005kb6,2016-04-21 00:24:30.006,"12km NNE of Muisne, Ecuador",earthquake,6.6,1.8,0.042,54,reviewed,us,us
2016-04-20 08:33:47.600,0.6359,-80.2083,14.77,6.2,mww,,48,1.811,0.91,us,us20005k37,2016-04-21 00:49:57.839,"19km WNW of Muisne, Ecuador",earthquake,3.9,3.1,,,reviewed,us,us
2016-04-20 08:25:07.900,0.6654,-80.2623,18.28,4.5,mb,,86,1.872,1.13,us,us20005k35,2016-04-20 09:29:10.830,"26km WNW of Muisne, Ecuador",earthquake,6.7,5.2,0.045,146,reviewed,us,us
2016-04-20 07:12:30.820,-14.5934,166.1732,10,5.4,mb,,50,1.308,1.33,us,us20005k2u,2016-04-20 07:29:07.120,"107km WNW of Port-Olry, Vanuatu",earthquake,8.1,1.9,0.077,58,reviewed,us,us
2016-04-20 05:45:35.000,60.6466,-142.8082,13.6,3.5,ml,,,,0.53,ak,ak13487022,2016-04-20 19:33:50.499,"67km NNW of Cape Yakataga, Alaska",earthquake,0.5,0.3,,,reviewed,ak,ak
2016-04-20 05:40:39.000,52.1862,178.6339,98.1,4.3,ml,,,,0.61,ak,ak13487016,2016-04-20 18:58:21.462,"27km NNE of Little Sitkin Island, Alaska",earthquake,16.6,10.9,,,reviewed,ak,ak
2016-04-20 04:07:56.300,18.538,-64.2042,17,2.5,Md,3,352.8,0.7348219,0.37,pr,pr16111000,2016-04-20 07:29:56.535,"45km ENE of Road  own, British Virgin Islands",earthquake,16.7,28.6,0,2,reviewed,pr,pr
2016-04-20 04:05:58.500,35.5513333,-120.877,6.76,2.52,md,76,62,0.02984,0.06,nc,nc72624790,2016-04-20 21:18:05.889,"12km N of Cayucos, California",earthquake,0.13,0.31,0.158,66,reviewed,nc,nc
2016-04-20 03:28:26.560,36.4966,70.1338,218.79,4.8,mb,,67,0.721,0.8,us,us20005k14,2016-04-20 03:47:55.268,"26km ESE of Farkhar, Afghanistan",earthquake,7.1,6.2,0.045,149,reviewed,us,us
2016-04-20 01:50:39.060,0.6426,-80.0739,10,4.4,mb,,92,1.688,1.27,us,us20005kcj,2016-04-21 02:18:38.598,"6km NW of Muisne, Ecuador",earthquake,2.7,1.9,0.112,23,reviewed,us,us
2016-04-20 01:49:16.650,0.6568,-79.9505,10,4.3,mb,,141,1.579,0.92,us,us20005kcg,2016-04-21 01:55:36.862,"11km NE of Muisne, Ecuador",earthquake,5.7,1.9,0.142,14,reviewed,us,us
2016-04-20 01:48:12.000,0.56,-79.91,6,3.7,mb,,,,0.8,us,us20005kcb,2016-04-21 01:35:16.466,"14km ESE of Muisne, Ecuador",earthquake,10.3,7.9,0.357,2,reviewed,qui,us
2016-04-20 01:46:40.690,45.0388333,-111.8643333,3.2,2.55,ml,43,49,0.231,0.16,mb,mb80136929,2016-04-20 14:06:50.473,"29km SSE of Virginia City, Montana",earthquake,0.25,3.11,0.194,20,reviewed,mb,mb
2016-04-20 01:29:42.000,59.9628,-153.0389,107,3.9,ml,,,,0.46,ak,ak13486898,2016-04-20 02:21:17.943,"60km SSW of Redoubt Volcano, Alaska",earthquake,0.4,0.5,,,reviewed,ak,ak
2016-04-20 01:13:01.000,59.7781,-153.1041,99.7,3.4,ml,,,,0.45,ak,ak13486834,2016-04-20 02:52:23.094,"71km W of Anchor Point, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
